GCA_034552735.1	5744
GCA_034552755.1	5746
GCA_034552775.1	5745
GCA_034552795.1	5732
GCA_034552815.1	5734
GCA_034552835.1	5733
GCA_034552855.1	5735
GCA_034552875.1	5736
GCA_034552895.1	5737
GCA_034552915.1	5739
GCA_034552935.1	5582
GCA_034552955.1	5740
GCA_034552975.1	5741
GCA_034552995.1	5742
GCA_034553015.1	5743
GCA_034553035.1	5772
GCA_034553055.1	5771
GCA_034553085.1	5789
GCA_034553105.1	5773
GCA_034553135.1	5583
GCA_034553235.1	5778
GCA_034553255.1	5779
GCA_034553265.1	5783
GCA_034553275.1	5791
GCA_034553285.1	5780
GCA_034553335.1	5792
GCA_034553355.1	5784
GCA_034553365.1	5800
GCA_034553375.1	5802
GCA_034553385.1	5796
GCA_034553435.1	5804
GCA_034553455.1	5811A
GCA_034553465.1	5585
GCA_034553475.1	5808
GCA_034553515.1	5806
GCA_034553525.1	5811B
GCA_034553535.1	5819
GCA_034553555.1	5816
GCA_034553575.1	5814
GCA_034553595.1	7073
GCA_034553615.1	3977A
GCA_034553635.1	5821
GCA_034553655.1	5586
GCA_034553675.1	6018A
GCA_034553695.1	6019A
GCA_034553715.1	6019C
GCA_034553735.1	6020A
GCA_034553755.1	6023A
GCA_034553775.1	6181Rx
GCA_034553795.1	6195Rx
GCA_034553815.1	6198
GCA_034553835.1	6290
GCA_034553855.1	6413
GCA_034553875.1	5587
GCA_034553895.1	6414
GCA_034553925.1	8708
GCA_034553955.1	8819
GCA_034553975.1	8891A
GCA_034553995.1	8908
GCA_034554015.1	8909A
GCA_034554035.1	8934A
GCA_034554055.1	8903A
GCA_034554075.1	8959A
GCA_034554095.1	8964
GCA_034554115.1	10215A
GCA_034554135.1	10213
GCA_034554155.1	5588
GCA_034554165.1	10217A
GCA_034554195.1	5589
GCA_035023025.1	WHRI 3876 NCPPB 1043
GCA_035023045.1	WHRI 6081
GCA_035023065.1	WHRI 3836E
GCA_035023085.1	WHRI 8462A
GCA_035023105.1	WHRI 6076
GCA_035023125.1	WHRI 6077
GCA_035023145.1	WHRI 6084
GCA_035023165.1	WHRI 6085
GCA_035023185.1	WHRI 6086
GCA_035023205.1	WHRI 6191
GCA_035023225.1	WHRI 6090
GCA_035023245.1	WHRI 6188
GCA_035023265.1	WHRI 6189
GCA_035023285.1	WHRI 6136
GCA_035023305.1	WHRI 6181
GCA_035023325.1	WHRI 6309A
GCA_035023345.1	WHRI 5219 NCPPB 2517
GCA_035023365.1	WHRI 8441A
GCA_035023385.1	WHRI 3971A
GCA_035023405.1	WHRI 8446
GCA_035023425.1	WHRI 3811
GCA_035023445.1	WHRI 5176
GCA_035023465.1	WHRI 5190
GCA_035023485.1	WHRI 5485
GCA_035023505.1	WHRI 5487
GCA_035023525.1	WHRI 3877 NCPPB 1645
GCA_035023545.1	WHRI 8455A
GCA_035023565.1	WHRI 5494A
GCA_035023585.1	WHRI 8429A
GCA_035023605.1	WHRI 8463B
GCA_035023625.1	WHRI 8436
GCA_035023645.1	WHRI 3974A
GCA_035023655.1	WHRI 8458A
GCA_035023685.1	WHRI 8447A
GCA_035023705.1	WHRI 8448A
GCA_035023725.1	WHRI 8469
GCA_035023745.1	WHRI 3883 NCPPB 1946
GCA_035023765.1	WHRI 3818A
GCA_035023785.1	WHRI 3964
GCA_035023805.1	WHRI 3880 NCPPB 2986
GCA_035023825.1	WHRI 5212 NCPPB 528
GCA_035023845.1	WHRI 3819A
GCA_035023865.1	WHRI 6046
GCA_035023885.1	WHRI 3975A
GCA_035023905.1	WHRI 6049
GCA_035023925.1	WHRI 6044
GCA_035023945.1	WHRI 6048
GCA_035023965.1	WHRI 6052
GCA_035023985.1	WHRI 6053
GCA_035024005.1	WHRI 6045
GCA_035024025.1	WHRI 6047
GCA_035025165.1	WHRI 6070
GCA_035025205.1	WHRI 6071
GCA_035025225.1	WHRI 6075
GCA_035025245.1	WHRI 6073
GCA_035025265.1	WHRI 6024A
GCA_035025285.1	WHRI 3843B
GCA_035025305.1	WHRI 6022A
GCA_035025325.1	WHRI 6184
GCA_035025345.1	WHRI 10061
GCA_035025365.1	WHRI 6072
GCA_035025385.1	WHRI 6312A
GCA_035025405.1	WHRI 6194
GCA_035025425.1	WHRI 10062A
GCA_035025445.1	WHRI 6082
GCA_035025465.1	WHRI 6089
GCA_035025485.1	WHRI 6083
GCA_035025505.3	WHRI 6066
GCA_035025525.1	WHRI 6074
GCA_035025545.1	WHRI 6058
GCA_035025565.1	WHRI 6062
GCA_035025585.1	WHRI 6064
GCA_035025605.1	WHRI 6063
GCA_035025625.1	WHRI 6068
GCA_035025645.1	WHRI 6050
GCA_035025665.1	WHRI 6054
GCA_035025685.1	WHRI 6069
GCA_035025705.1	WHRI 6067
GCA_035025725.1	WHRI 3830A
GCA_035025745.1	WHRI 3820A
GCA_035025765.1	WHRI 6051
GCA_035025785.1	WHRI 6061
GCA_035025805.1	WHRI 3832A
GCA_035025825.1	WHRI 6065
GCA_035025845.1	WHRI 6055
GCA_035025865.1	WHRI 6059
GCA_035025885.2	WHRI 6056
GCA_035025905.1	WHRI 6057
GCA_035025925.1	WHRI 8450A
GCA_035025945.1	WHRI 8572
GCA_035025965.1	WHRI 3973A
GCA_035025985.1	WHRI 8578
GCA_035026005.1	WHRI 8023C
GCA_035026025.1	WHRI 7264
GCA_035026045.1	WHRI 6192
GCA_035026065.1	WHRI 6196
